,name,gas-name,gas-CriticalTemp,gas-CriticalPressure,gas-AcentricFactor,gas-MolecularWeight,gas-MeltPoint,gas-BoilingPoint,temperature,pressure
0,1499489-acs.cgd.6b01265_1499490_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
1,ABAVIJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
2,ABAYIO_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
3,ABAYOU_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
4,ABEFUL_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
5,ABESUX_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
6,ABETAE_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
7,ABETIN_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
8,ABEXEM_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
9,ABEXEN_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
10,ABEXIQ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
11,ABEXOW_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
12,ABEXUC_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
13,ABEYAJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
14,ABEYEN_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
15,ABEYIR_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
16,ABIXOZ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
17,ABIYIV_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
18,ABULOB_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
19,ABUWOJ_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
20,ac403674p_si_001_clean,2,1.475242,1.475921,1.620478155,0.086439,1.976795,1.69928074,320,20000
