MOF Name,Predicted CO2 Absorption
WOMXED_clean,169.1
FOSTOY_clean,155.1
FORXIU_clean,143.4
MUZKAV_clean,141.1
RAHNUL_clean,138.4
LAPZIO_clean,132.5
IZERAI_clean,130.5
VETTIZ_charged,123.5
SOKXOH_clean,122.5
ERUNUC_clean,122.5
RAVXAP_clean,120.6
jacs.6b01663_ja6b01663_si_002_clean,120.1
UXOHOG_clean,118.75
UNIFII_clean,117.8
LAPZEK_clean,117.8
VETTAR_charged,116.4
DOGBAE_clean,115.94
WAGQAY_clean,113.7
VETSOE_charged,113.7
MAVRAE_clean,113.25
ZUCKIT_clean,112.8
TASZEU_charged,112.4
TOVKEW_clean,111.94
RAVXOD_clean,111.44
AXINAX_clean,110.2
TASYUJ_charged,109.3
ic5005374_si_003_clean,109.3
XUDPET_clean,109.3
RAVXIX_clean,108.0
REXGAE_clean,107.2
KARNAU_clean,106.3
VABKAN_clean,105.06
ESEBOV_clean,105.06
acs.chemmater.5b03723_cm5b03723_si_005_clean,104.6
VABKER_clean,102.2
RUFPUF_clean,101.8
FAYQED_clean,101.8
LAQNUP_clean,101.8
ja206029a_si_003_clean,100.6
TOVKOG_clean,100.6
AVAKEP_clean,100.2
NOBWEI_clean,100.2
SUNLAP_clean,99.8
BOYCEY_auto,99.8
OYEWEW_clean,99.0
LURRIA_clean,98.25
ja111042f_si_002_clean,98.25
ja406844r_si_002_clean,98.25
BAZGEQ_clean,98.25
cg301577a_si_002_clean,97.9
CIRTUU_clean,97.5
MUZKEZ_clean,97.5
jacs.6b08724_ja6b08724_si_014_clean,97.1
FOSTUE_clean,96.3
YUSWEP_manual,96.3
YUZPIU_clean,96.3
XONLES_clean,95.94
FIFGEI_clean,95.56
BINROH_clean,95.56
AXINAX01_clean,95.2
UKIQUB_clean,94.8
RAVWAO_clean,94.8
OWIZAW_clean,94.8
nchem.2258-s3_clean,94.44
MUDLON_clean,94.06
GACYER_clean,94.06
NOHQEI_clean,93.7
QIYDIN01_clean,93.7
NIMPOQ_clean,93.7
BINRUN_clean,93.7
ZODXAT_clean,93.7
SICZOV_clean,92.6
KUNSUJ_clean,92.6
LEHXUT_clean,92.6
EBATUZ_clean,92.6
XAVKIR_clean,92.25
XONLES01_clean,92.25
FOPFAS_clean,91.9
NIMQEH_clean,91.9
BEDYEQ_clean,91.9
ADATAC_clean,91.5
RUJMAM_clean,91.5
XAHPON_clean,91.5
RAVWUI_clean,91.5
CAJQIP_clean,91.5
YUZPEQ_clean,91.1
ja5109535_si_002_clean,91.1
HABRAF_manual,91.1
ja507269n_si_003_clean,91.1
RIXPIZ_clean,90.8
EDUVAA_clean,90.44
PODKUQ_clean,90.44
ja5b00365_si_002_clean,90.44
TASZAQ_charged,90.44
KOZQIB_clean,90.44
